ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,1956-09-12,1956-Sep-12 20:20,-419744400000,3.2634606265,11748.4582554323,7300.0350754379,1.4171297569,551.2634754341,211999593.145857803,131730438.7592235614,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,1971-09-06,1971-Sep-06 04:03,52977780000,7.6655658653,27596.0371152368,17147.104284187,0.3147502333,122.4378407537,47085964.483683071,29257861.6250895398,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2001-09-05,2001-Sep-05 00:40,999650400000,7.6532216086,27551.5977911354,17119.4914163863,0.2846489809,110.7284535701,42582881.240310683,26459775.4466381054,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2003-10-26,2003-Oct-26 03:46,1067139960000,3.7241284848,13406.8625452769,8330.5030076472,1.4865987524,578.2869146836,222392006.903697388,138187985.2279364344,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2048-09-19,2048-Sep-19 10:28,2484124080000,13.0394477911,46942.0120478077,29167.940763817,0.4256632516,165.5830048724,63678315.776634092,39567870.6370587896,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2050-11-15,2050-Nov-15 11:59,2552126340000,5.0048427673,18017.4339623463,11195.3327862146,1.9591584297,762.1126291533,293085928.075664739,182115150.9144578382,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2063-10-10,2063-Oct-10 19:16,2959269360000,3.4163448465,12298.8414475462,7642.0217872267,1.563825951,608.328294939,233945031.32032437,145366701.718921506,Juptr
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2078-09-10,2078-Sep-10 05:26,3430013160000,7.5222545496,27080.1163785251,16826.5312019786,0.2134595996,83.0357842444,31933101.431212852,19842309.1292552776,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2108-09-07,2108-Sep-07 18:36,4376486160000,7.8186889132,28147.2800874542,17489.6252298962,0.2568612457,99.9190245773,38425895.242266659,23876744.1242075342,Earth
2000719,2000719,719 Albert (A911 TB),Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.59,2.0256060086,4.529392731,2025.6060086475,4529.3927309679,1.2586528312,2.8144332906,6645.6892174112,14860.2128474689,False,2110-11-08,2110-Nov-08 03:30,4444860600000,3.4670013619,12481.2049027845,7755.3353463996,1.3899546635,540.6923641015,207934257.056166745,129204356.049101281,Juptr
